dt,Celsius,State,AverageTemperature
19000109,22.351,District Of Columbia,72.2318
19000109,26.865,Florida,80.357
19000109,24.876,Georgia ,76.7768
19000109,24.626,Hawaii,76.3268
19000109,11.023,Idaho,51.8414
19000109,20.447,Illinois,68.8046
19000109,20.783,Indiana,69.4094
19000109,17.799,Iowa,64.0382
19000109,20.847,Kansas,69.5246
19000109,22.686,Kentucky,72.8348
19000109,27.119,Louisiana,80.8142
19000109,13.582,Maine,56.4476
19000109,22.314,Maryland,72.1652
19000109,16.996,Massachusetts,62.5928
19000109,16.666,Michigan,61.9988
19000109,14.2,Minnesota,57.56
19000109,26.028,Mississippi,78.8504
19000109,21.536,Missouri,70.7648
19000109,11.095,Montana,51.971
19000109,17.297,Nebraska,63.1346
19000109,13.857,Nevada,56.9426
19000109,14.988,New Hampshire,58.9784
19000109,20.508,New Jersey,68.9144
19000109,18.195,New Mexico,64.751
19000109,17.31,New York,63.158
19000109,23.282,North Carolina,73.9076
19000109,12.8,North Dakota,55.04
19000109,20.429,Ohio,68.7722
19000109,23.848,Oklahoma,74.9264
19000109,12.481,Oregon,54.4658
19000109,19.254,Pennsylvania,66.6572
19000109,18.504,Rhode Island,65.3072
19000109,24.87,South Carolina,76.766
19000109,15.387,South Dakota,59.6966
19000109,23.178,Tennessee,73.7204
19000109,25.437,Texas,77.7866
19000109,13.6,Utah,56.48
19000109,14.937,Vermont,58.8866
19000109,22.403,Virginia,72.3254
19000109,12.509,Washington,54.5162
19000109,20.847,West Virginia,69.5246
19000109,15.554,Wisconsin,59.9972
19000109,11.568,Wyoming,52.8224
19000110,19.748,Alabama,67.5464
19000110,5.882,Alaska,42.5876
19000110,15.795,Arizona,60.431
19000110,18.065,Arkansas,64.517
19000110,14.264,California,57.6752
19000110,8.355,Colorado,47.039
19000110,13.41,Connecticut,56.138
19000110,15.855,Delaware,60.539
19000110,15.677,District Of Columbia,60.2186
19000110,24.198,Florida,75.5564
19000110,20.122,Georgia ,68.2196
19000110,23.601,Hawaii,74.4818
19000110,5.546,Idaho,41.9828
19000110,16.147,Illinois,61.0646
19000110,15.986,Indiana,60.7748
19000110,14.728,Iowa,58.5104
19000110,15.609,Kansas,60.0962
19000110,17.002,Kentucky,62.6036
19000110,21.089,Louisiana,69.9602
19000110,9.174,Maine,48.5132
19000110,15.986,Maryland,60.7748
19000110,11.985,Massachusetts,53.573
19000110,13.16,Michigan,55.688
19000110,11.55,Minnesota,52.79
19000110,19.855,Mississippi,67.739
19000110,16.32,Missouri,61.376
19000110,6.603,Montana,43.8854
19000110,12.513,Nebraska,54.5234
19000110,9.243,Nevada,48.6374
19000110,10.347,New Hampshire,50.6246
19000110,14.743,New Jersey,58.5374
19000110,12.539,New Mexico,54.5702
19000110,12.441,New York,54.3938
19000110,17.674,North Carolina,63.8132
19000110,8.842,North Dakota,47.9156
19000110,15.325,Ohio,59.585
19000110,17.674,Oklahoma,63.8132
19000110,7.6,Oregon,45.68
19000110,13.71,Pennsylvania,56.678
19000110,13.333,Rhode Island,55.9994
19000110,19.537,South Carolina,67.1666
19000110,11.144,South Dakota,52.0592
19000110,17.374,Tennessee,63.2732
19000110,19.601,Texas,67.2818
19000110,8.649,Utah,47.5682
19000110,10.378,Vermont,50.6804
19000110,16.185,Virginia,61.133
19000110,7.248,Washington,45.0464
19000110,14.914,West Virginia,58.8452
19000110,12.86,Wisconsin,55.148
19000110,6.481,Wyoming,43.6658
19000111,12.333,Alabama,54.1994
19000111,15.15,Alaska,59.27
19000111,10.766,Arizona,51.3788
